Rank,Prioridade,Finalidade,Status,Gerências,GPM,NOTA,ORDEM,DESCRICAO,Critério,OM - Status Sistema,OM - Status Usuário,Prazo demanda
416,8,Vazamento,Parada,HDT,PAR,15522700,2029617173,M-2316011(Vaz)PQT26-Elim.vaz.linha dreno,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,ABER CAPC KKMP,SIMP,2026-08-30
417,8,Desempenho Energético,Parada,REFINO,PAR,15577689,,D-575-A L-571-Rev. dumper REV 41,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,,,2026-12-30
418,8,Desempenho Energético,Parada,HDT,PAR,15474080,,D-23114G Desvio FV-2311008 com passagem,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,,,2026-12-31
419,8,Desempenho Energético,Parada,HDT,PAR,14771752,,D-5126-4A Válvula globo V5 montante PV-0,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,,,2026-12-31
420,8,Desempenho Energético,Parada,HDT,PAR,15966224,,D-22254K L-002 drenagem central travada,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,,,2026-12-31
421,8,Desempenho Energético,Parada,REFINO,PAR,15876780,,M-574 Baixa eficiência Rev. 41,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,,,2027-02-23
422,8,Desempenho Energético,Parada,REFINO,PAR,15877097,,M-574 (Ejetores) revisão geral Rev. 41,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,,,2027-03-23
423,8,Desempenho Energético,Parada,REFINO,PAR,15934594,,M-501B Baixa eficiência Rev. 41,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,,,2027-03-25
424,8,Vazamento,Parada,REFINO,PAR,15934786,,ACIONAMENTO J-587BT J-587BT PQT 41 VAZ V,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,,,2027-03-25
425,8,Desempenho Energético,Parada,REFINO,PAR,15934587,,M-501A Baixa eficiência Rev. 41,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,,,2027-03-25
426,8,Desempenho Energético,Falta material,SOP,ELE,15559838,2029563505,Avenida 01 - Revisar ilum. viária,Desempenho energético / Vazamento de utilidades / Massa de gás para Tocha - MGT,LIB  CAPC DMNV MATF NOLQ,SIMP TRIA ANEX EQEC MPMI PMAU 1ESC,2030-08-30
427,8,Continuidade Operacional,Programável,UTILIDADES,MEC,15935206,2030266798,V-308D  INSPEÇÃO REDUTOR,PFCEO - Função Verde e Equipamento Vermelho/IAZF_PFCEO Falha,LIB  CNPA IMPR CAPC DMNV MOME NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC FDEV,2025-06-10
428,8,Continuidade Operacional,Impedido,HDT,CAL,15621449,2029647438,M-2311006 -Eliminar vazto. interno,PFCEO - Função Verde e Equipamento Vermelho/IAZF_PFCEO Falha,LIB  CNPA CAPC IMPA MOME MatC NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2025-06-29
429,8,Continuidade Operacional,Programável,UTILIDADES,ELE,15955695,2030334848,V-308ADE-Avaliar/sanar coman remot deslg,PFCEO - Função Verde e Equipamento Vermelho/IAZF_PFCEO Falha,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-08-18
430,8,Continuidade Operacional,Impedido,TRANSFERÊNCIA,ELE,15870475,2030143104,T-812-DE(IMED)-Revisar manopla de gaveta,PFCEO - Função Verde e Equipamento Vermelho/IAZF_PFCEO Falha,LIB  CNPA CAPC IMPA JBFI KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC,2026-03-05
431,8,Continuidade Operacional,Impedido,UTILIDADES,ELE,15915338,2030230476,J-579FM ramonador com falha,PFCEO - Função Verde e Equipamento Vermelho/IAZF_PFCEO Falha,LIB  CAPC KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2025-04-24
432,8,Apoio de Rotina a Operação,Programável,UTILIDADES,COM,15915480,2030284795,L-572-Limpeza chapas protetoras paineis,PFCEO - Função Verde e Equipamento Vermelho/IAZF_PFCEO Falha,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2026-02-05
433,8,Continuidade Operacional,TM GPI - Aguarda Ordem,UTILIDADES,INS,15956403,,V-414BT Rotação oscilando,PFCEO - Função Verde e Equipamento Vermelho/IAZF_PFCEO Falha,,,2026-03-05
434,8,Continuidade Operacional,TO GPI - Encerrar nota,UTILIDADES,ELE,15870103,2030178670,J-350DM Bomba com atraso de resposta,PFCEO - Função Verde e Equipamento Vermelho/IAZF_PFCEO Falha,,,2026-04-24
435,8,Continuidade Operacional,Parada,UTILIDADES,PAR,15680670,,V-414A Revisão geral devido parada de ma,PFCEO - Função Verde e Equipamento Vermelho/IAZF_PFCEO Falha,,,2026-07-01
436,8,Continuidade Operacional,Parada,UTILIDADES,PAR,15728437,,V-414A Parado devido manutenção na calde,PFCEO - Função Verde e Equipamento Vermelho/IAZF_PFCEO Falha,,,2026-07-20
437,8,Continuidade Operacional,Falta material,UTILIDADES,ELE,14483482,2027510829,IN-8221 Substituir Módulos Inversores,IAZF_SO Defeito/IAZF_PFCEO Defeito,LIB  CNPA IMPR CAPC DMNV JBFI MATF NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2023-07-28
438,8,Continuidade Operacional,TO GPI - Encerrar nota,REFINO,MEC,15829980,2030118298,J-1201A Selo LA perdendo nível,IAZF_SO Defeito/IAZF_PFCEO Defeito,,,2025-04-15
439,8,ICAA - Condicionante Ambiental,Impedido,TRANSFERÊNCIA,CAL,15010723,2028501720,SMS(O-0850001;BIOFILTRO)-Med.Atm.,Emissões Atmosféricas e Condicionante Ambiental (IEA e ICAA),LIB  CNPA IMPR CAPC DMNV ERRD NOLQ,IMPD TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2023-12-01
440,8,ICAA - Condicionante Ambiental,Impedido,UTILIDADES,ELE,13798061,2026204306,J-876-A Revisar Motor Elétrico,Emissões Atmosféricas e Condicionante Ambiental (IEA e ICAA),LIB  IMPR CAPC KKMP NOLQ,IMPD TRIA EQEC ANEX AEGE AEGO MPOP MPMI 1ESC,2022-09-09
441,8,IEA - Emissões Atmosféricas,Impedido,REFINO,ELE,14485347,2027513676,J-760BM Remover motor elétrico Revisão,Emissões Atmosféricas e Condicionante Ambiental (IEA e ICAA),LIB  CAPC KKMP NOLQ,IMPD TRIA ANEX EQEC MPMI MPOP 1ESC,2023-03-30
442,8,IEA - Emissões Atmosféricas,Impedido,REFINO,ELE,14684031,2027911604,V-642-ADE Substituir inversor de frequên,Emissões Atmosféricas e Condicionante Ambiental (IEA e ICAA),LIB  CAPC MatC NOLQ,IMPD OPER TRIA EQEC PMAU ANEX MPOP MPMI 1ESC,2024-07-22
443,8,,Programável,,LAB,,2017777409,COG- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA AEGE AEGO,2018-08-09
444,8,,Impedido,,INS,,2022401744,U830 - Preventiva SGSO,ICPM/API,LIB  CNPA IMPR CAPC MOME MatC NOLQ,IMPD TRIA ANEX PMAU,2020-07-24
445,8,,Programável,,LAB,,2029915065,OMS2-MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP MOME NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
446,8,,Programável,,LAB,,2029915226,PROPENO- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC MatC NOLQ,SIMP TRIA ANEX MPMI PMAU,2024-12-18
447,8,,Programável,,LAB,,2029915227,DEST- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
448,8,,Falta material,,LAB,,2029915228,URFCC- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC MATF MOME NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
449,8,,Programável,,LAB,,2029915229,UTAA1- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
450,8,,Programável,,LAB,,2029915230,VAPOR- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC DMNV NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
451,8,,Programável,,LAB,,2029915231,OSM1- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
452,8,,Programável,,LAB,,2029915232,ETA1/ETA2 - MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
453,8,,Programável,,LAB,,2029915233,K301- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
454,8,,Programável,,LAB,,2029915234,ETDI- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC DMNV MOME NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
455,8,,Programável,,LAB,,2029915235,UGH- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP MOME NOLQ,SIMP TRIA ANEX MPMI PMAU,2024-12-18
456,8,,Programável,,LAB,,2029915236,HDT- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
457,8,,Programável,,LAB,,2029915237,HDS- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC MOME MatC NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
458,8,,Programável,,LAB,,2029915238,URE2- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
459,8,,Programável,,LAB,,2029915239,UTAA2- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI PMAU,2024-12-18
460,8,,Programável,,LAB,,2029915240,UTGR- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
461,8,,Programável,,LAB,,2029915241,COG- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CNPA CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI PMAU APRE,2024-12-18
462,8,,Programável,,CAL,,2029959635,RDA-U-300-SUBSTITUIR CONTAINERS,ICPM/API,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU 1ESC,2025-01-02
463,8,,Programável,,ELE,,2029615729,SE-821 Prev. (Conservação),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-03-16
464,8,,Programável,,ELE,,2029615875,SE-822 Prev. (Conservação),ICPM/API,LIB  CNPA CAPC DMNV IMPA KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-03-16
465,8,,Programável,,ELE,,2029615876,SE-823 Prev. (Conservação),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-03-16
466,8,,Programável,,ELE,,2029615883,SE-810-A Prev. (Conservação),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2025-03-16
467,8,,Programável,,ELE,,2029615987,Laboratório Prev. (Conservação),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC APRE,2025-03-16
468,8,,Programável,,ELE,,2029643727,SE-650C Manut. Prev. (Conservação),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-03-24
469,8,,Programável,,COM,,2030278164,RDA-ETA-I/II/LODO - Apoio Operação,ICPM/API,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU 1ESC,2025-03-31
470,8,,Programável,,COM,,2030278309,ETDI-ROTINA DE LIMPEZA E CONSERVAÇÃO,ICPM/API,LIB  CNPA CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU 1ESC,2025-03-31
471,8,,Programável,,CAL,,2030293238,RE-Preventiva de Válvulas(PLANO),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP 1ESC,2025-03-31
472,8,,Programável,,CAL,,2030293240,TE-Preventiva de Válvulas(PLANO),ICPM/API,TENC LIB  CNPA CAPC DMNV JBFI KKMP NOLQ,SIMP TRIA MPMI MPOP 1ESC,2025-03-31
473,8,,Programável,,CAL,,2030293241,UTL-Preventiva de Válvulas(PLANO),ICPM/API,TENC LIB  CNPA CAPC DMNV JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP 1ESC,2025-03-31
474,8,,Programável,,INS,,2030053172,Preventiva nivel tanques - Pq. Inferior,ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU APRE,2025-04-01
475,8,,Programável,,INS,,2030118208,P837A XV81181A/81180A - Manut Preventiva,ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP,2025-04-01
476,8,,Programável,,ELE,,2029676402,CCL-11 Manut. Prev. (Conservação),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-04-02
477,8,,Programável,,ELE,,2029676403,SE-742A Manut. Prev. (Conservação),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-04-02
478,8,,Programável,,ELE,,2029676404,SE-742B Manut. Prev. (Conservação),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-04-02
479,8,,Programável,,ELE,,2029676405,SE-742BD Preventiva de Conservação,ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-04-02
480,8,,Programável,,ELE,,2029676747,CCL-12 Preventiva de Conservação,ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-04-02
481,8,,Programável,,CAL,,2030280948,P-413 - SUBSTITUIR HIDRAZINA/MORFOLINA,ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-04-02
482,8,,Programável,,ELE,,2030032077,CCL-4  Manut Prev  (conservação),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI PMAU 1ESC,2025-04-05
483,8,,Programável,,ELE,,2030031979,SE-612 Manut Prev  (conservação),ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP PMAU 1ESC,2025-04-06
484,8,,Programável,,ELE,,2029693547,SE-200 Manut Prev  (conservação).,ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-04-08
485,8,,Programável,,INS,,2030264518,O2313003 LT-2313015 e LT-2313016,ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP 1ESC,2025-04-09
486,8,,TM GPI - Aguarda MPMI,,INS,,2022401739,U570 - Preventiva SGSO,ICPM/API,LIB  CNPA IMPR CAPC DMNV KKMP NOLQ,SIMP ANEX PMAU,
487,8,,TM GPI - Aguarda MPMI,,INS,,2022379902,U-2313 - HDT - Preventiva SGSO,ICPM/API,ABER CAPC KKMP,SIMP ANEX PMVL,2020-07-23
488,8,,TM GPI - Aguarda MPMI,,INS,,2022401705,U640 - Preventiva SGSO/SIS,ICPM/API,ABER CAPC KKMP,SIMP ANEX,2020-07-24
489,8,,Microplanejamento,,IEQ,,2030216740,P-423 - Inspeção Geral,ICPM/API,ABER CAPC KKMP,SIMP PMVL MPMI,2021-03-29
490,8,,Falta material,,IEQ,,2027635628,O-353-C Inspeção Geral,ICPM/API,LIB  CAPC DMNV IMPA MATF MOME NOLQ,EQEC PMAU TRIA IMPD ANEX MPMI MPOP 1ESC APRE,2023-05-19
491,8,,Falta material,,IEQ,,2028072191,M-756  Inspeção Geral,ICPM/API,LIB  CAPC DMNV IMPA MATF MOME NOLQ,IMPD TRIA EQEC ANEX PMAU MPMI 1ESC,2023-07-05
492,8,,Falta material,,IEQ,,2028103381,O-5121001A- Inspeção Interna,ICPM/API,LIB  CAPC IMPA MATF MOME NOLQ,EQEC FMAT PMAU TRIA IMPD ANEX MPMI 1ESC APRE,2023-09-21
493,8,,Microplanejamento,,CAL,,2028929625,P-808A-Preventiva DAPV(PLANO),ICPM/API,ABER CAPC KKMP NOLQ,SIMP MPMI,2024-03-25
494,8,,Microplanejamento,,CAL,,2028628256,P-808C-Preventiva DAPV(PLANO),ICPM/API,ABER CAPC ERRD KKMP NOLQ,SIMP ANEX MPMI,2024-08-02
495,8,,Concluído,,CAL,,2030172948,U-500/570/600 - Subst. Produtos Quimicos,ICPM/API,TENC LIB  CONF IMPR CAPC DMNV JBFI KKMP*,SIMP TRIA ANEX MPMI MPOP 1ESC,2025-03-06
496,8,,Impedido,,CAL,,2030176713,L-641 Manut. prev. caneta Inferior Sul,ICPM/API,LIB  CAPC DMNV KKMP NOLQ,IMPD TRIA ANEX MPMI MPOP 1ESC,2025-03-06
497,8,,Concluído,,LAB,,2030202082,OMS2-MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU APRE,2025-03-07
498,8,,Concluído,,LAB,,2030202083,PROPENO- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC DMNV JBFI MOME NOLQ,SIMP TRIA ANEX MPMI MPOP APRE,2025-03-07
499,8,,Concluído,,LAB,,2030202084,DEST- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC DMNV JBFI MOME NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU APRE,2025-03-07
500,8,,Concluído,,LAB,,2030202085,URFCC- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP APRE,2025-03-07
501,8,,Concluído,,LAB,,2030202646,UTAA1- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI MOME MatC NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU APRE,2025-03-07
502,8,,Concluído,,LAB,,2030202647,VAPOR- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU APRE,2025-03-07
503,8,,Concluído,,LAB,,2030202648,OSM1- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU APRE,2025-03-07
504,8,,Concluído,,LAB,,2030202649,ETA1_ETA2 MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP APRE,2025-03-07
505,8,,Concluído,,LAB,,2030202650,P306/K301- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP APRE,2025-03-07
506,8,,Concluído,,LAB,,2030202651,ETDI- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC DMNV JBFI MOME NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU APRE,2025-03-07
507,8,,Concluído,,LAB,,2030202652,UGH- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI MOME MatC NOLQ,SIMP TRIA ANEX MPMI MPOP APRE,2025-03-07
508,8,,Concluído,,LAB,,2030202653,HDT- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP APRE,2025-03-07
509,8,,Concluído,,LAB,,2030202654,HDS- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU APRE,2025-03-07
510,8,,Concluído,,LAB,,2030202655,URE2- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP APRE,2025-03-07
511,8,,Concluído,,LAB,,2030202656,UTAA2- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC DMNV JBFI MOME NOLQ,SIMP TRIA ANEX MPMI MPOP APRE,2025-03-07
512,8,,Concluído,,LAB,,2030202657,UTGR- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC DMNV JBFI MOME NOLQ,SIMP TRIA ANEX MPMI MPOP APRE,2025-03-07
513,8,,Concluído,,LAB,,2030202658,COG- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CONF CAPC JBFI KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP APRE,2025-03-07
514,8,,Programável,,CAL,,2030293239,HDT-Preventiva de Válvulas(PLANO),ICPM/API,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP 1ESC APRE,2025-03-31
515,8,,Concluído,,INS,,2030117361,J-890B XV-81182B/81183B-Manut.Preventiva,ICPM/API,LIB  CONF IMPR CAPC DMNV JBFI KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP,2025-04-01
516,8,,TM GPI - Aguarda MPMI,,INS,,2030212718,ETDI - Preventiva instrumentos NR-13,ICPM/API,ABER CAPC KKMP,SIMP,2025-04-01
517,8,,Programável,,ELE,,2029676746,SE-200A Manut. Prev. (Conservação),ICPM/API,LIB  CAPC DMNV KKMP NOLQ,SIMP TRIA EQEC PMAU ANEX MPOP MPMI 1ESC APRE,2025-04-02
518,8,,Programável,,INS,,2030118212,P-837B XV-81181B - Manutenção Preventiva,ICPM/API,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP,2025-04-02
519,8,,Programável,,INS,,2030118213,J-890A XV-81182A/81183A-Manut.Prevent.,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX EQEC MPMI MPOP,2025-04-02
520,8,,Programável,,LAB,,2030335040,OMS2-MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU,2025-04-06
521,8,,Programável,,LAB,,2030335041,PROPENO- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
522,8,,Programável,,LAB,,2030335042,DEST- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
523,8,,Programável,,LAB,,2030335043,URFCC- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
524,8,,Programável,,LAB,,2030335044,UTAA1- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
525,8,,Programável,,LAB,,2030335045,VAPOR- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU,2025-04-06
526,8,,Programável,,LAB,,2030335326,OSM1- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU,2025-04-06
527,8,,Programável,,LAB,,2030335327,ETA1_ETA2 MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
528,8,,Programável,,LAB,,2030335328,P306/K301- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
529,8,,Programável,,LAB,,2030335329,ETDI- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU,2025-04-06
530,8,,Programável,,LAB,,2030335330,UGH- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
531,8,,Programável,,LAB,,2030335331,HDT- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
532,8,,Programável,,LAB,,2030335332,HDS- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP PMAU,2025-04-06
533,8,,Programável,,LAB,,2030335333,URE2- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
534,8,,Programável,,LAB,,2030335334,UTAA2- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
535,8,,Programável,,LAB,,2030335335,UTGR- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
536,8,,Programável,,LAB,,2030335336,COG- MANUTENÇÃO ANALISADORES,ICPM/API,LIB  IMPR CAPC KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP,2025-04-06
537,8,,Programável,,CAL,,2030278316,U-500/570/600 - Subst. Produtos Quimicos,ICPM/API,LIB  CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP 1ESC,2025-04-07
538,8,,Programável,,CAL,,2030285478,L-641 - Limpeza da Caneta Superior Sul,ICPM/API,LIB  CAPC DMNV KKMP NOLQ,SIMP TRIA ANEX MPMI MPOP 1ESC,2025-04-07
539,8,,Microplanejamento,,MEC,,2030368584,Z-303B MANUTENÇÃO PREVENTIVA,ICPM/API,LIB  CAPC KKMP NOLQ,SIMP MPMI,2025-04-14
540,8,,TO GPI - Aguarda TRIA,,INS,,2030264517,O-5126004 LT-5126016 e LT-5126018,ICPM/API,LIB  IMPR CAPC DMNV KKMP NOLQ,SIMP ANEX EQEC MPMI 1ESC,2025-04-16
